Site;X;Y;CellName;AZIMUT
S07880;31646;392303;G078803;0
S07882;196575;593305;G078821;30
S07882;196575;593305;G078822;150
S07882;196575;593305;G078823;270
S07885;252278;469585;G078851;90
S07885;252278;469585;G078852;240
S07885;252278;469585;G078853;340
S07896;125477;486978;G078961;90
S07896;125477;486978;G078962;210
S07896;125477;486978;G078963;300
S07901;119061;483051;G079011;60
S07901;119061;483051;G079012;180
S07901;119061;483051;G079013;300
S07904;147384;460488;G079041;0
S07904;147384;460488;G079042;20
S07913;144538;522965;G079131;30
S07913;144538;522965;G079132;150
S07913;144538;522965;G079133;270
S07914;234977;522353;G079141;80
S07914;234977;522353;G079142;210
S07914;234977;522353;G079143;300
S07915;118713;478121;G079151;90
S07915;118713;478121;G079152;210
S07915;118713;478121;G079153;330
S07923;124645;480736;G079231;0
S07923;124645;480736;G079232;20
S07923;124645;480736;G079233;40
S07927;115654;498983;G079271;100
S07927;115654;498983;G079272;175
S07927;115654;498983;G079273;250
S07929;173855;451641;G079291;60
S07929;173855;451641;G079292;180
S07929;173855;451641;G079293;300
S07935;173649;422262;G079351;160
S07935;173649;422262;G079352;255
S07935;173649;422262;G079353;45
S07937;208477;373619;G079371;90
S07937;208477;373619;G079372;210
S07937;208477;373619;G079373;330
S07940;135568;455276;G079400;0
S07941;135568;455276;G079410;0
S07955;124505;490254;G079551;30
S07955;124505;490254;G079552;150
S07955;124505;490254;G079553;270
S07969;155320;463524;G079691;120
S07969;155320;463524;G079692;240
S07969;155320;463524;G079693;0
S07974;135126;453505;G079741;60
S07974;135126;453505;G079742;180
S07974;135126;453505;G079743;270
S07983;103329;489888;G079831;90
S07983;103329;489888;G079832;210
S07983;103329;489888;G079833;340
S07985;250005;492409;G079851;100
S07985;250005;492409;G079852;200
S07985;250005;492409;G079853;330
S07986;264744;488142;G079861;30
S07986;264744;488142;G079862;150
S07986;264744;488142;G079863;270
S07988;263353;494425;G079881;120
S07988;263353;494425;G079882;240
S07988;263353;494425;G079883;0
S07989;133675;446305;G079891;60
S07989;133675;446305;G079892;180
S07989;133675;446305;G079893;300
S07991;245621;489066;G079911;60
S07991;245621;489066;G079912;180
S07991;245621;489066;G079913;300
S07994;113878;420000;G079941;60
S07994;113878;420000;G079942;180
S07994;113878;420000;G079943;300
S07996;245797;482912;G079961;40
S07996;245797;482912;G079962;150
S07996;245797;482912;G079963;290
S07997;156680;390836;G079971;110
S07997;156680;390836;G079972;210
S07997;156680;390836;G079973;330
S08007;231379;472587;G080071;90
S08007;231379;472587;G080072;220
S08007;231379;472587;G080073;330
S08011;203447;502752;G080111;0
S08017;172317;507669;G080171;120
S08017;172317;507669;G080172;240
S08017;172317;507669;G080173;0
S08018;176370;496953;G080181;100
S08018;176370;496953;G080181c;100
S08018;176370;496953;G080182;220
S08018;176370;496953;G080182c;220
S08018;176370;496953;G080183;340
S08018;176370;496953;G080183c;340
S08021;194720;328546;G080211;50
S08021;194720;328546;G080212;170
S08021;194720;328546;G080213;290
S08022;161910;501654;G080221;90
S08022;161910;501654;G080222;210
S08022;161910;501654;G080223;330
S08029;116970;400390;G080291;0
S08035;182678;578938;G080351;0
S08036;93723;425242;G080361;0
S08037;182135;487671;G080371;36
S08037;182135;487671;G080372;126
S08037;182135;487671;G080373;306
S08039;197460;471263;G080391;0
S08042;120097;483381;G080421;0
